Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP0402-CAP,C2 C3,0.1uF,0402-CAP,2, ,
2,,CAP_POL1206,C1,10uF,CPOL_1206,1, ,
3,,M09,JP1 JP2,M09,1X09,2, ,
4,,FT245RL,U1,FT245RL,SSOP28DB,1, ,
5,,LOGO-SFENEW,U$1,LOGO-SFENEW,SFE-NEW-WEBLOGO,1, ,
6,,USBSMD,X2,USBSMD,USB-MINIB,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-06_12-56-02
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,6
Component Count:,8 (0 SMD/ 0 THT)
Fitted Components:,8 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,8
