Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,HEADER-1X1ROUND,ANT0,HEADER-1X1ROUND,1X01_ROUND,1, ,
2,,CAP_CERAMIC0603_NO,C7 C14,1uF,0603-NO,2, ,
3,,CAP_CERAMIC_0603MP,C9,1uF,_0603MP,1, ,
4,,CAP_CERAMIC0805-NOOUTLINE,C1 C3 C6 C8,10uF,0805-NO,4, ,
5,,LED0805_NOOUTLINE,CHG0,ORANGE,CHIPLED_0805_NOOUTLINE,1, ,
6,,DIODE-SCHOTTKYSOD-123,D4,MBR120,SOD-123,1, ,
7,,ATMEGA32U4-MU,IC1,ATMEGA32U4-MU,TQFN44_7MM,1, ,
8,,HEADER-1X12,JP3,HEADER-1X12,1X12_ROUND,1, ,
9,,HEADER-1X16ROUND,JP1,HEADER-1X16ROUND,1X16_ROUND,1, ,
10,,HEADER-1X2ROUND,JP4,HEADER-1X2ROUND,1X02_ROUND,1, ,
11,,LED0805_NOOUTLINE,L0,RED,CHIPLED_0805_NOOUTLINE,1, ,
12,,RESISTOR_0603_NOOUT,R4 R5,22,0603-NO,2, ,
13,,RESISTOR_0603_NOOUT,R2,1K,0603-NO,1, ,
14,,RESISTOR_0603_NOOUT,R7,2.2K,0603-NO,1, ,
15,,RESISTOR_0603_NOOUT,R1 R3 R6 R9,100k,0603-NO,4, ,
16,,RESISTOR_0603_NOOUT,R8,10K\,0603-NO,1, ,
17,,SPST_TACT-KMR2,SW1,SPST_TACT-KMR2,KMR2,1, ,
18,,VREG_SOT23-5,U2,AP2112-3.3,SOT23-5,1, ,
19,,MCP73831/2,U3,MCP73831T-2ACI/OT,SOT23-5,1, ,
20,,RFM69HCW_SMT,U4,RFM69HCW_SMT,RFMHCW_SMT,1, ,
21,,CON_JST_PH_2PIN,X1,JSTPH,JSTPH2,1, ,
22,,USB_MICRO_20329_V2,X3,microUSB,4UCONN_20329_V2,1, ,
23,,ANTENNA_U.FL,X2,uFL,U.FL,1, ,
24,,RESONATORSMD,Y1,RESONATORSMD,RESONATOR-SMD,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-02_17-08-33
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,24
Component Count:,32 (0 SMD/ 0 THT)
Fitted Components:,32 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,32
