Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,KAILH_SOCKET_TILE,X1 X2 X3 X4 X5 X6 X13 X14 X15 X16 X17 X18 X25 X26 X27 X28 X29 X30,KAILH_SOCKET_TILE,KAILH_SOCKET_TILE,18, ,
2,,KAILH_SOCKET_TILE_REVERSE,X7 X8 X9 X10 X11 X12 X19 X20 X21 X22 X23 X24,KAILH_SOCKET_TILE_REVERSE,KAILH_SOCKET_TILE_REV,12, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-22
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,2
Component Count:,30 (0 SMD/ 0 THT)
Fitted Components:,30 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,30
