Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,M05,JP1,M05,1X05,1, ,
2,,M08,JP3 JP4,M08,1X08,2, ,
3,,RESISTOR0402,R1 R2 R3,RESISTOR0402,C0402,3, ,
4,,PCF8575C,U1,PCF8575C,SO-24DW,1, ,
5,,LOGO-SFENEW,U$2,LOGO-SFENEW,SFE-NEW-WEBLOGO,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-06_12-56-03
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,5
Component Count:,8 (0 SMD/ 0 THT)
Fitted Components:,8 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,8
