Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,,CAP_CERAMIC0805-NOOUTLINE,C1 C2 C3,22uF,0805-NO,3, ,
2,,TPS61023,IC1,TPS61023,SOT563,1, ,
3,,HEADER-1X4ROUND,JP1,HEADER-1X4ROUND,1X04_ROUND,1, ,
4,,INDUCTORTDK_VLC5045,L1,1uH,INDUCTOR_5X5MM_TDK_VLC5045,1, ,
5,,RESISTOR_0603_NOOUT,R1 R3,100K,0603-NO,2, ,
6,,RESISTOR_0603_NOOUT,R2,732K,0603-NO,1, ,





Project info:
Schematic:,working
Variant:,default
Revision:,
Date:,2023-08-03_17-21-23
KiCad Version:,7.0.6-7.0.6~ubuntu22.04.1
Statistics:
Component Groups:,6
Component Count:,9 (0 SMD/ 0 THT)
Fitted Components:,9 (0 SMD/ 0 THT)
Number of PCBs:,1
Total Components:,9
